issn,source_name,impact_2yr_mean_citedness,h_index,i10_index,works_count,is_in_doaj
1569-8432,International Journal of Applied Earth Observation and Geoinformation,4.912,168,3434,5601,True
1872-826X,International Journal of Applied Earth Observation and Geoinformation,4.912,168,3434,5601,True
0262-6667,Hydrological Sciences Journal,2.88,151,2831,5105,False
2150-3435,Hydrological Sciences Journal,2.88,151,2831,5105,False
1005-3409,Shuitu baochi yanjiu,0.0,10,14,4401,True
0733-9437,Journal of Irrigation and Drainage Engineering,1.211,109,1830,4333,False
1943-4774,Journal of Irrigation and Drainage Engineering,1.211,109,1830,4333,False
1084-0699,Journal of Hydrologic Engineering,2.428,123,1901,3594,False
1943-5584,Journal of Hydrologic Engineering,2.428,123,1901,3594,False
1525-7541,Journal of Hydrometeorology,1.971,186,2324,3082,False
1525-755X,Journal of Hydrometeorology,1.971,186,2324,3082,False
0921-092X,Water science and technology library,1.543,73,448,2783,False
1872-4663,Water science and technology library,1.543,73,448,2783,False
1007-2284,China Rural Water and Hydropower,0.0,6,2,2476,True
0029-1277,Hydrology research,3.341,79,1375,2445,True
1996-9694,Hydrology research,3.341,79,1375,2445,True
1998-9563,Hydrology research,3.341,79,1375,2445,True
2224-7955,Hydrology research,3.341,79,1375,2445,True
1004-0323,Yaogan jishu yu yingyong,0.0,16,58,2200,True
1413-7895,Irriga,0.079,23,162,1989,False
1808-3765,Irriga,0.079,23,162,1989,False
1808-8546,Irriga,0.079,23,162,1989,False
0972-1665,Journal of Agrometeorology,1.078,22,187,1758,True
2583-2980,Journal of Agrometeorology,1.078,22,187,1758,True
1007-4929,Jieshui guan'gai,0.0,5,0,1389,True
0256-6524,Journal of Agricultural Engineering (India),0.836,14,53,1237,False
0976-2418,Journal of Agricultural Engineering (India),0.836,14,53,1237,False
0253-3146,Journal of The Korean Society of Agricultural Engineers,0.0,15,45,1186,False
1738-3692,Journal of The Korean Society of Agricultural Engineers,0.0,15,45,1186,False
2093-7709,Journal of The Korean Society of Agricultural Engineers,0.0,15,45,1186,False
1000-6362,Zhongguo nongye qixiang,0.0,9,7,1025,False
0102-7786,Revista Brasileira de Meteorologia,0.878,35,316,947,True
1982-4351,Revista Brasileira de Meteorologia,0.878,35,316,947,True
0974-2662,INTERNATIONAL JOURNAL OF AGRICULTURAL ENGINEERING,0.0,11,12,846,False
0976-7223,INTERNATIONAL JOURNAL OF AGRICULTURAL ENGINEERING,0.0,11,12,846,False
0022-457X,Journal of Soil and Water Conservation,0.083,13,21,550,False
2455-7145,Journal of Soil and Water Conservation,0.083,13,21,550,False
1556-5068,SSRN Electronic Journal,0.207,452,110557,1648099,False
1932-6203,PLoS ONE,2.977,600,234410,342323,True
2045-2322,Scientific Reports,4.71,461,167724,305854,True
1742-6588,Journal of Physics Conference Series,0.472,133,19100,218676,False
1742-6596,Journal of Physics Conference Series,0.472,133,19100,218676,False
1755-1315,IOP Conference Series Earth and Environmental Science,0.565,76,7781,124692,False
1755-1307,IOP Conference Series Earth and Environmental Science,0.565,76,7781,124692,False
2169-3536,IEEE Access,5.629,369,54092,110576,True
2071-1050,Sustainability,5.071,297,56192,107837,False
2072-4292,Remote Sensing,4.565,271,24268,42658,True
2073-4441,Water,3.998,170,15077,32219,False
2319-7692,International Journal of Current Microbiology and Applied Sciences,3.662,56,1827,24107,False
2319-7706,International Journal of Current Microbiology and Applied Sciences,3.662,56,1827,24107,False
2073-4395,Agronomy,4.613,166,8890,19891,True
1682-1750,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",0.9,84,3040,16172,True
1682-1777,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",0.9,84,3040,16172,True
2194-9034,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",0.9,84,3040,16172,True
2073-4433,Atmosphere,3.196,107,5062,12745,True
1866-7511,Arabian Journal of Geosciences,1.831,104,4730,12383,False
1866-7538,Arabian Journal of Geosciences,1.831,104,4730,12383,False
1939-1404,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,4.544,163,5707,12283,True
2151-1535,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,4.544,163,5707,12283,True
1748-9326,Environmental Research Letters,4.362,262,6759,10042,True
2296-665X,Frontiers in Environmental Science,4.518,128,3713,8322,True
2618-060X,International Journal of Research in Agronomy,0.152,9,9,6661,False
2618-0618,International Journal of Research in Agronomy,0.152,9,9,6661,False
2581-8627,International Journal of Environment and Climate Change,1.027,25,155,5265,False
2328-031X,Scientific investigations report,0.909,68,1220,4846,False
2328-0328,Scientific investigations report,0.909,68,1220,4846,False
2332-5607,Scientific investigations report,0.909,68,1220,4846,False
2320-0227,Journal of Scientific Research and Reports,0.639,33,225,4149,False
2214-5818,Journal of Hydrology Regional Studies,2.849,81,1248,3768,True
1931-3195,Journal of Applied Remote Sensing,1.327,77,1270,3664,False
2476-3594,JWSS - Isfahan University of Technology,0.063,13,24,3341,False
2476-5554,JWSS - Isfahan University of Technology,0.063,13,24,3341,False
2151-0032,Transactions of the ASABE,0.0,92,1690,3176,False
2151-0040,Transactions of the ASABE,0.0,92,1690,3176,False
1531-0353,Irrigation and Drainage,1.669,61,942,2900,False
1531-0361,Irrigation and Drainage,1.669,61,942,2900,False
2352-7110,SoftwareX,1.997,68,544,2462,True
1936-0584,Ecohydrology,2.041,92,1172,2181,False
1936-0592,Ecohydrology,2.041,92,1172,2181,False
2040-2244,Journal of Water and Climate Change,4.357,57,866,1994,True
2408-9354,Journal of Water and Climate Change,4.357,57,866,1994,True
1672-3317,Journal of Irrigation and Drainage,0.0,8,4,1840,True
2306-5338,Hydrology,2.859,59,649,1805,True
2509-9426,Earth Systems and Environment,3.799,59,387,1294,False
2509-9434,Earth Systems and Environment,3.799,59,387,1294,False
